DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	n_amr_genes_strict
COLOR	#ff0000
COLOR_MIN	#ffffff
COLOR_MAX	#000000
DATA
af_0058_0071_a5	2.0
af_0058_0071_a5	2.0
af_0058_0061_a5-BISc	2.0
af_0058_0061_a5-BISc	2.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
aa_0143_0055_h8	42.0
an_0080_0058_d10	2.0
an_0080_0058_d10	2.0
af_0058_0061_a5-BIS	2.0
af_0058_0061_a5-BIS	2.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
cx_0004_0072_e7	41.0
af_0058_0077_h4	2.0
af_0058_0077_h4	2.0
af_0058_0066_f4	2.0
af_0058_0066_f4	2.0
af_0058_0083_d3	2.0
af_0058_0083_d3	2.0
af_0058_0083_e3	2.0
af_0058_0083_e3	2.0
af_0058_0071_b3	2.0
af_0058_0071_b3	2.0
af_0058_0061_a5-BISb	2.0
af_0058_0061_a5-BISb	2.0
af_0058_0077_a5	2.0
af_0058_0077_a5	2.0
an_0080_0058_h4	2.0
an_0080_0058_h4	2.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
cx_0004_0064_b7	41.0
